"Dmel","Species","Total","Retroelements","LINEs","SINEs","Penelope","LTR","DNA_transposons","Pao","Copia","Gypsy","SpeciesName"
0.85,"Acom",27.86,16.11,11.57,0,0,4.54,9.79,0.11,0.05,1.21,"A.communis"
0.93,"Amar",24.18,16.44,12.84,0,0,3.59,7.05,0.11,0.12,0.68,"A.mariae"
0.96,"Amin",20.28,10.74,8.68,0,0,2.06,7.11,0,0.09,0.32,"A.minor"
0.2,"Ccau",23.99,11.32,8.82,0,0,2.5,11.24,0.01,0.05,0.65,"C.caudatula"
0.38,"Ccos",32.34,16.74,7.74,0,0,9,14.55,0.03,0.11,1.58,"C.costata"
0.73,"Cfus",33.38,22.4,13.61,0,0,8.79,9.97,0.11,0.14,3.24,"C.fuscimana"
0.88,"Cind",25.67,18.78,15.98,0,0,2.8,6.52,0.1,0.08,0.6,"C.indagator"
0.07,"Cpro",10.58,5.61,5.18,0,0,0.42,4.8,0,0.13,0.04,"C.procnemis"
2.07,"Dacu",18.9,12.03,3.29,0,0,8.74,6.82,0.01,0.19,4.01,"D.acutilabella"
1.92,"Daff",27.19,20.35,8.25,0,0,12.1,6.59,0.05,0.04,6.05,"D.affinis"
1.07,"Dalb",12.87,9.4,5.65,0,0,3.76,3.29,0.08,0.03,1.6,"D.albomicans"
0.63,"Dald",13.45,4.93,0.74,0,0,4.19,8.08,0.02,0.02,0.63,"D.aldrichi"
1.44,"Damb",19.69,14.67,5.46,0,0,9.21,4.61,0.06,0.4,3.7,"D.ambigua"
2.13,"Dame",28.58,25.32,13.3,0,0,12.02,2.75,0.2,0.07,3.06,"D.americana"
5.19,"Dana",37.52,32.08,9.25,0,0,22.83,4.3,0.1,0.29,11.38,"D.ananassae"
1.76,"Danc",10.8,6.09,2.52,0,0,3.56,4.59,0.04,0,0.38,"D.anceps"
0.53,"Danoma",8.39,4.41,1.87,0,0,2.54,3.91,0.13,0.05,0.81,"D.anomalipes"
2.87,"Dano",23.24,20.71,6.46,0,0,14.25,2.29,0.36,0.05,5.45,"D.anomelani"
1.3,"Dant",14.94,9.41,2.14,0,0,7.27,5.32,0.54,0.53,2.89,"D.antonietae"
3.06,"Dara",23.79,10.9,2.15,0,0,8.75,10.91,0.04,0.11,3.4,"D.arawakana"
1.91,"Dath",28.37,21.35,9.68,0,0,11.67,6.69,0.17,0.07,5.8,"D.athabasca"
0.23,"Datro",5.14,1.53,0.64,0,0,0.89,3.55,0.04,0.03,0.1,"D.atroscutellata"
3.53,"Datr",25.15,18.92,7.18,0,0,11.74,3.81,0.48,0.1,4.08,"D.atripex"
3,"Daus",30.73,21.18,7.5,0,0,13.68,9.4,0.21,0.22,4.59,"D.austrosaltans"
3.68,"Dazt",36.55,31.63,10.3,0,0,21.32,4.51,0.1,0.71,9.77,"D.azteca"
0.2,"Dbas",5.45,1.5,1.01,0,0,0.48,3.87,0,0.02,0.41,"D.basisetae"
3.76,"Dbia",23.78,21.01,9.79,0,0,11.23,2.14,0.3,0.34,3.87,"D.biarmipes"
2.43,"Dbif",29.96,27.68,12.95,0,0,14.73,2.08,0.55,0.21,8.16,"D.bifasciata"
2.86,"Dbip",31.26,25.85,13.33,0,0,12.52,4.21,0.07,0.15,6,"D.bipectinata"
2.01,"Dbir",17.71,14.08,5.4,0,0,8.68,3.44,0.61,0.28,3.73,"D.birchii"
2.45,"Dboc",20.99,17.78,6.77,0,0,11.01,3.09,0.41,0.29,3.81,"D.bocqueti"
4.6,"Dbore",30.23,24,7.17,0,0,16.82,6.11,0.33,0.11,6.38,"D.borealis"
1.4,"Dbor",17.1,10.57,2.41,0,0,8.15,6.27,0.21,0.27,3.16,"D.borborema"
1.46,"Dbun",15.35,6.12,1.57,0,0,4.56,9.11,0.11,0.02,2.02,"D.bunnanda"
0.43,"Dbus",6.43,2.98,1.69,0,0,1.29,3.18,0,0.02,1.17,"D.busckii"
1.09,"Dbuz",14.87,8.94,4.66,0,0,4.28,5.62,0.03,0.18,1.59,"D.buzzatii"
1.86,"Dcard",20.64,9.07,1.39,0,0,7.68,9.25,0,0.52,2.49,"D.cardini"
4.13,"Dcarr",38.8,35.62,11.41,0,0,24.21,1.75,0.18,0.09,7.82,"D.carrolli"
0.26,"Dcog",6.16,2.7,0.77,0,0,1.93,3.43,0.38,0.08,0.48,"D.cognata"
2.47,"Dcol",21.54,16.95,9.33,0,0,7.62,4.25,0.23,0.14,3.68,"D.colorata"
0.26,"Dcon",6.95,3.68,1.06,0,0,2.63,3.19,0.02,0.08,0.46,"D.conformis"
0.24,"Dcra",7.06,4.32,1.31,0,0,3.01,2.7,0.09,0.06,0.61,"D.cracens"
0.24,"Dcru",4.95,1.53,0.78,0,0,0.75,3.39,0,0.03,0.23,"D.crucigera"
0.27,"Dcyr",8.58,3.26,1.99,0,0,1.27,5.13,0,0.14,0.49,"D.cyrtoloma"
0.16,"Ddem",3.27,1.37,0.49,0,0,0.88,1.85,0.02,0.06,0.06,"D.demipolita"
0.18,"Ddif",4.49,0.89,0.6,0,0,0.29,3.57,0,0.03,0.14,"D.differens"
0.22,"Ddiv",4.22,1.54,0.56,0,0,0.98,2.55,0,0.17,0.23,"D.dives"
3.78,"Dele",20.52,16.05,3.96,0,0,12.09,4.4,0.69,0.13,4.36,"D.elegans"
2.13,"Dema",15.38,12.18,4.41,0,0,7.78,3.13,0.05,0.14,3.98,"D.emarginata"
0.21,"Deng",4.48,1.43,0.65,0,0,0.78,3.01,0,0.06,0.22,"D.engyochracea"
1.1,"Deoh",7.18,4.34,0.58,0,0,3.76,2.74,0.05,0,0.61,"D.eohydei"
3.82,"Dequ",33.55,26.23,8.77,0,0,17.46,6.5,0.17,0.4,7.26,"D.equinoxialis"
4.24,"Derc",30.63,28.46,12.95,0,0,15.51,1.29,0,0.94,1.48,"D.ercepeae"
7.31,"Dere",17.37,13.22,2.25,0,0,10.98,3.62,0.62,0,5.12,"D.erecta"
3.13,"Deug",18.67,15.58,5.88,0,0,9.71,1.94,0.45,0.41,3.27,"D.eugracilis"
4.09,"Dezo_mas",23.28,19.69,8.16,0,0,11.54,3.42,0.13,0.05,5.06,"D.ezoana.masurca"
3.52,"Dezo",21.35,17.89,8.54,0,0,9.35,3.35,0.11,0.05,3.27,"D.ezoana"
1.65,"Dfal",17.53,11.24,5.14,0,0,6.09,5.91,0.02,0.43,1.9,"D.falleni"
1.87,"Dfic",25.32,22.66,5.02,0,0,17.64,2.5,0.13,0.26,3.98,"D.ficusphila"
0.59,"Dfla",21.86,10.82,5.79,0,0,5.03,10.94,0.7,0,1.84,"D.flavopinicola"
1.51,"Dfor",16.01,11.31,4.79,0,0,6.52,4.55,0,0.08,2.98,"D.formosana"
1.81,"Dful",13.03,10.32,7.25,0,0,3.07,2.41,0,0.02,0.39,"D.fulvimacula"
0.15,"Dfung",3.87,1.58,0.73,0,0,0.86,2.26,0.02,0.06,0.23,"D.fungiperda"
0.9,"Dfun",25.32,14.45,2.49,0,0,11.96,9.72,0,0,3.14,"D.funebris"
4.63,"Dfuy",37.91,30.59,6.54,0,0,24.05,7.23,0.21,0.06,11.55,"D.fuyamai"
