"","Species","SeqFile","Mapped","Total","Map_Pct"
"1","Dana","Dana.ovary_FC.unox.SLX-22038-2.1.d101g",25263,337677,7.48
"2","Dana","Dana.ovary_FC.unox.SLX-22089-1.1.d101g",1164466,13874731,8.39
"3","Dana","Dana.ovary.unox.SLX-20690-1.1.d101g",448576,9556459,4.69
"4","Dana","Dana.ovary.unox.SLX-20690-2.1.d101g",727739,14801319,4.91
"5","Dana","Dana.ovary.unox.SLX-20690-3.1.d101g",544610,10180409,5.34
"6","Dana","Dazt.ovary.unox.SLX-20537-1.1.GCA_005876895",1633,7755409,0.02
"7","Dana","Dazt.ovary.unox.SLX-20537-1.2.GCA_005876895",1606,7889201,0.02
"8","Dana","Dazt.ovary.unox.SLX-20537-2.1.GCA_005876895",3299,16092933,0.02
"9","Dana","Dazt.ovary.unox.SLX-20537-2.2.GCA_005876895",3406,16347304,0.02
"10","Dana","Dbia.ovary_FC.unox.SLX-20537-1.1.d101g",6104,1501488,0.4
"11","Dana","Dbia.ovary_FC.unox.SLX-20537-1.2.d101g",6354,1517098,0.41
"12","Dana","Dbia.ovary_FC.unox.SLX-20537-2.1.d101g",8760,1898235,0.46
"13","Dana","Dbia.ovary_FC.unox.SLX-20537-2.2.d101g",9088,1924545,0.47
"14","Dana","Dbia.ovary.unox.SLX-20537-1.1.d101g",6961,1708831,0.4
"15","Dana","Dbia.ovary.unox.SLX-20537-1.2.d101g",6916,1729853,0.39
"16","Dana","Dbia.ovary.unox.SLX-20537-2.1.d101g",32602,8118660,0.4
"17","Dana","Dbia.ovary.unox.SLX-20537-2.2.d101g",32973,8255175,0.39
"18","Dana","Dbif.ovary.ox.SRR21575940.1.GCA_009664405",44669,39986675,0.11
"19","Dana","Dbif.ovary.unox.SLX-20539-1.1.GCA_009664405",11137,21026775,0.05
"20","Dana","Dbif.ovary.unox.SLX-20539-2.1.GCA_009664405",2658,2886871,0.09
"21","Dana","Dere.ovary_FC.unox.SLX-22038-2.1.d101g",371,116129,0.31
"22","Dana","Dere.ovary_FC.unox.SLX-22089-1.1.d101g",56385,21891290,0.25
"23","Dana","Dere.ovary_FC.unox.SRR1617564.1.d101g",15551,6074136,0.25
"24","Dana","Dere.ovary.unox.SLX-20690-1.1.d101g",3918,3336013,0.11
"25","Dana","Dere.ovary.unox.SLX-20690-2.1.d101g",6197,4581656,0.13
"26","Dana","Dere.ovary.unox.SLX-20690-3.1.d101g",8452,6389752,0.13
"27","Dana","Dere.ovary.unox.SLX-20690-4.1.d101g",3869,3742146,0.1
"28","Dana","Dere.ovary.unox.SLX-20690-5.1.d101g",4579,4047726,0.11
"29","Dana","Dere.ovary.unox.SLX-20690-6.1.d101g",4883,4075898,0.11
"30","Dana","Dfic.ovary_FC.unox.SLX-20537-1.1.d101g",24254,3510155,0.69
"31","Dana","Dfic.ovary_FC.unox.SLX-20537-1.2.d101g",25081,3564172,0.7
"32","Dana","Dfic.ovary_FC.unox.SLX-20537-2.1.d101g",21290,2863483,0.74
"33","Dana","Dfic.ovary_FC.unox.SLX-20537-2.2.d101g",21522,2904499,0.74
"34","Dana","Dfic.ovary.unox.SLX-21849-1.1.d101g",28941,9014109,0.32
"35","Dana","Dfic.ovary.unox.SLX-21849-2.1.d101g",5216,2288828,0.22
"36","Dana","Dgri.female_body.unox.SRR5461084.1.d101g",7821,44704184,0.01
"37","Dana","Dgri.male_body.unox.SRR5461083.1.d101g",6459,34901142,0.01
"38","Dana","Dmau.testis.unox.SRR16213304.1.d101g",23892,8533476,0.27
"39","Dana","Dmau.testis.unox.SRR16213305.1.d101g",27543,9176025,0.3
"40","Dana","Dmau.testis.unox.SRR7961897.1.d101g",8386,3068825,0.27
"41","Dana","Dmel.female_germline.unox.SRR5593238.1.d101g",260357,28049291,0.92
"42","Dana","Dmel.female_soma.unox.SRR5593239.1.d101g",116828,9237735,1.26
"43","Dana","Dmel.OSC-PiwiIP.unox.SRR2749801.1.d101g",54657,14108665,0.38
"44","Dana","Dmel.OSC.unox.SRR1746867.1.d101g",117728,21000391,0.56
"45","Dana","Dmel.OSC.unox.SRR2749806.1.d101g",156131,27907057,0.55
"46","Dana","Dmel.OSC.unox.SRR823324.1.d101g",123633,23487609,0.52
"47","Dana","Dmel.ovary-AGO3IP.unox.SLX-20224-1.1.d101g",6346,5404819,0.11
"48","Dana","Dmel.ovary-AGO3IP.unox.SRR1746865.1.d101g",50717,29824537,0.17
"49","Dana","Dmel.ovary-AubIP.unox.SLX-20224-1.1.d101g",11854,8620644,0.13
"50","Dana","Dmel.ovary-AubIP.unox.SRR1746864.1.d101g",77394,35135787,0.22
"51","Dana","Dmel.ovary_FC.unox.SLX-21647-1.1.d101g",34022,10532322,0.32
"52","Dana","Dmel.ovary_FC.unox.SLX-21647-2.1.d101g",43947,12664984,0.34
"53","Dana","Dmel.ovary_FC.unox.SLX-21647-3.1.d101g",45081,8935861,0.5
"54","Dana","Dmel.ovary_FC.unox.SRR1617561.1.d101g",27337,6737489,0.4
"55","Dana","Dmel.ovary-PiwiGLIP.unox.SRR1746862.1.d101g",53195,15038613,0.35
"56","Dana","Dmel.ovary-PiwiIP-PiwiGLKD.unox.SRR1187951.1.d101g",217377,27815413,0.78
"57","Dana","Dmel.ovary-PiwiIP.unox.SLX-20224-1.1.d101g",9479,5000685,0.18
"58","Dana","Dmel.ovary-PiwiIP.unox.SRR1746863.1.d101g",120498,31126206,0.38
"59","Dana","Dmel.ovary.unox.SLX-20228-1.1.d101g",36413,16398111,0.22
"60","Dana","Dmel.ovary.unox.SLX-20228-2.1.d101g",33516,15784775,0.21
"61","Dana","Dmel.ovary.unox.SLX-20690-1.1.d101g",17971,4629424,0.38
"62","Dana","Dmel.ovary.unox.SLX-20690-2.1.d101g",10736,2848233,0.37
